TITULO;GRATUITO;FECHA;HORA;CONTENT-URL;NOMBRE-INSTALACION;CP;TIPO
'Animalejos';1;20/11/2024;7:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8cbb5f33314d2910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Gloria Fuertes (Barajas);28042;CuentacuentosTiteresMarionetas
'Antonio Palacios: arquitecto y urbanista' por Álvaro Bonet;1;21/11/2024;8:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=aecdf8c8d7523910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Iván de Vargas (Centro);28005;ConferenciasColoquios
'Arrecordaderas' de Gaudencio de la Sota Mayor (María Jesús Orella);1;22/11/2024;9:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=335d1e329da13910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Iván de Vargas (Centro);28005;RecitalesPresentacionesActosLiterarios
'Aserrín, aserrán';1;25/11/2024;10:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=907051f09c992910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Miguel Delibes (Moratalaz);28030;CuentacuentosTiteresMarionetas
'Bienvenido Otoño';1;27/11/2024;11:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d59151f09c992910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo);28029;CuentacuentosTiteresMarionetas
'Bienvenido otoño';1;21/11/2024;12:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=208e51f09c992910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Vicálvaro;28032;CuentacuentosTiteresMarionetas
'Catacric catacrac';1;11/12/2024;13:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e78316164a4b2910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Francisco Ayala (Vicálvaro);28032;CuentacuentosTiteresMarionetas
'Catacric catacrac';1;09/12/2024;14:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e22b365177e33910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal Miguel Delibes (Moratalaz);28030;CuentacuentosTiteresMarionetas
'Cinefórum '2001: una odisea en el espacio' de Stanley Kubrick;1;29/11/2024;15:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0887c1bd15603910VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal Iván de Vargas (Centro);28005;CineActividadesAudiovisuales
'Clases de árabe para niños';1;13/12/2024;16:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=60ceedb3e8133910VgnVCM1000001d4a900aRCRD;Biblioteca Pública Municipal San Fermín (Usera);28041;CursosTalleres
